CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
16,Michoacàn,33,Gabriel Zamora,88200,Semilla de sorgo grano,16,67,"732,160","45,760"
13,Hidalgo,81,Zacualtipàn de ngeles,54900,Avena forrajera en verde,10,67,"39,996","3,960"
17,Morelos,11,Jiutepec,54100,Arroz palay,7,67,"279,968","42,419"
15,M_xico,11,Atenco,59200,Cebada grano,36,67,"211,259","5,868"
16,Michoacàn,105,Vista Hermosa,58700,Càrtamo,36,67,"387,438","10,762"
16,Michoacàn,55,MÏgica,70600,Guayaba,7,67,"311,845","44,549"
9,Distrito Federal,9,Milpa Alta,57400,Calabacita,7,67,"569,500","81,357"
10,Durango,29,San Luis del Cordero,90500,Trigo grano,45,67,"234,675","5,215"
4,Campeche,10,Calakmul,73900,LimÑn,11,67,"389,180","35,380"
13,Hidalgo,18,Chapulhuacàn,75500,Mandarina,11,67,"184,505","16,773"
15,M_xico,72,RayÑn,60700,ChÕcharo,16,67,"279,720","17,483"
10,Durango,23,Pueblo Nuevo,70600,Guayaba,26,67,"538,720","20,720"
12,Guerrero,39,Juan R. Escudero,88800,Tamarindo,15,68,"280,751","18,717"
13,Hidalgo,46,San Felipe Orizatlàn,73900,LimÑn,15,68,"182,250","12,150"
13,Hidalgo,58,Tasquillo,89800,Tomate verde,9,68,"335,490","37,277"
14,Jalisco,107,Tuxcueca,50600,Aguacate,5,68,"810,000","162,000"
15,M_xico,7,Amanalco,65300,Durazno,9,68,"324,000","36,000"
16,Michoacàn,20,Cuitzeo,69000,Garbanzo grano,75,68,"708,750","9,450"
16,Michoacàn,88,TarÕmbaro,61900,Cilantro,15,68,"121,500","8,100"
8,Chihuahua,19,Chihuahua,63100,Col (repollo),4,68,"243,546","69,584"
13,Hidalgo,43,Nicolàs Flores,89700,Tomate rojo (jitomate),6,68,"479,115","79,853"
14,Jalisco,103,Tonila,57100,Caf_ cereza,88,68,"195,924","2,226"
15,M_xico,25,Chalco,59200,Cebada grano,26,68,"216,320","8,320"
7,Chiapas,64,Oxchuc,75800,Manzana,21,68,"637,147","30,340"
12,Guerrero,48,Petatlàn,76700,MelÑn,9,68,"279,927","31,103"
12,Guerrero,36,Igualapa,50800,AjonjolÕ,93,68,"1,212,389","13,036"
3,Baja California Sur,2,Muleg_,66500,Espàrrago,17,68,"3,020,000","177,647"
11,Guanajuato,40,Tierra Blanca,74900,MaÕz grano,340,68,"291,550",858
14,Jalisco,33,Degollado,68400,Frijol,70,68,"986,000","14,086"
17,Morelos,6,Cuautla,61900,Cilantro,9,68,"239,035","27,475"
13,Hidalgo,35,Metepec,75800,Manzana,45,68,"270,683","6,015"
7,Chiapas,67,Pantepec,68400,Frijol,144,68,"821,406","5,704"
8,Chihuahua,35,Janos,55200,Semilla de avena grano,31,68,"395,560","12,760"
13,Hidalgo,22,Epazoyucan,74900,MaÕz grano,22,68,"221,650","10,075"
16,Michoacàn,100,Tzintzuntzan,71100,Haba verde,22,68,"304,040","13,820"
12,Guerrero,51,Quechultenango,50500,Agave,2,68,"133,486","66,743"
13,Hidalgo,81,Zacualtipàn de ngeles,78500,Naranja,6,68,"82,080","13,680"
15,M_xico,59,Nextlalpan,69400,Girasol,29,68,"458,820","16,099"
12,Guerrero,16,Coahuayutla de Jos_ MarÕa Izazaga,87100,SandÕa,7,68,"202,900","31,215"
